name,type,color,weight,price,brand
Gaming Mouse,Electronics,#000000,150g,59.99,Logitech
Office Chair,Furniture,#808080,12kg,199.99,Herman Miller
Gaming Headset,Electronics,#FF0000,350g,129.99,SteelSeries
Desk Lamp,Electronics,#C0C0C0,750g,34.99,Phillips
Dining Table,Furniture,#654321,35kg,399.99,Ashley
Bluetooth Speaker,Electronics,#0000FF,420g,79.99,JBL
Mechanical Keyboard,Electronics,#ff7f94,1.2kg,149.99,Razer
Webcam,Electronics,#000000,120g,69.99,Logitech
TV Stand,Furniture,#8B4513,30kg,249.99,Sauder
Gaming Monitor,Electronics,#000000,4.5kg,349.99,ASUS
Sofa Set,Furniture,#654321,85kg,899.99,La-Z-Boy
Wireless Earbuds,Electronics,#FFFFFF,58g,159.99,Samsung
Filing Cabinet,Furniture,#C0C0C0,28kg,129.99,HON
Tablet,Jacket,#ef3868,470g,449.99,Apple Laptop
HeinHtet,Hat,#857bff,150,1200,Hein
